dof,repeat,nominal_frequency_hz,estimated_frequency_hz,mean_forward_speed_m_s,fundamental_velocity_amplitude,fundamental_wrench_amplitude,fluid_wrench_per_velocity_in_phase,equivalent_direct_D_at_trial_amplitude,coefficient_units,fundamental_mean_fluid_power_W
yaw,2,0.4,0.3960322962962963,0.20159247096436234,0.4360843527025978,0.04235289003666394,0.019022703500244646,-0.019022703500244646,N*m*s,0.0018087696027407397
yaw,2,0.5,0.49506212962962964,0.20159192658622113,0.5481428991805644,0.07287834192881988,0.05716259918974858,-0.05716259918974858,N*m*s,0.008587555508917856
yaw,2,0.6,0.5941403555555556,0.2015973112910846,0.6534396760781171,0.11298044587275728,0.10071683025763843,-0.10071683025763843,N*m*s,0.021502207827650423
yaw,2,0.7,0.6928290185185184,0.20159176931444409,0.7630265862819899,0.1722672220323672,0.15813995826282834,-0.15813995826282834,N*m*s,0.04603529865858432
yaw,3,0.1,0.09724382962962964,0.20158801003193666,0.11051573414548366,0.044929091186837085,-0.06021163307397709,0.06021163307397709,N*m*s,-0.00036770423915856345
yaw,3,0.2,0.19803316296296297,0.20159376968318943,0.21819167905997833,0.00700378551379369,-0.019633166830076904,0.019633166830076904,N*m*s,-0.00046734406308382453
yaw,3,0.3,0.2970475222222222,0.20159344903069829,0.3272596914617972,0.02160995450788187,0.0010761895963332213,-0.0010761895963332213,N*m*s,5.7629364022653e-05
yaw,3,0.4,0.39603767407407403,0.20159250234717824,0.43609580919214186,0.04384060796690822,0.023556491931737537,-0.023556491931737537,N*m*s,0.0022399815740543265
yaw,3,0.5,0.4950616851851852,0.20159180832282594,0.5481404078058698,0.07311176629440348,0.057642104766637836,-0.057642104766637836,N*m*s,0.008659513067106463
yaw,3,0.6,0.5941387777777778,0.20159712257592552,0.6534589009562345,0.11187952565067967,0.10097217710438804,-0.10097217710438804,N*m*s,0.021557990722615276
yaw,3,0.7,0.6928490333333333,0.20159201204389415,0.7630416527022527,0.17026235117471433,0.1499230150369205,-0.1499230150369205,N*m*s,0.04364503070568157
