dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,motion_r2,forward_r2,paired_samples,gather_rows,sensor_rows,mean_towing_speed_m_s,excited_coordinate_fundamental_amplitude,excited_velocity_fundamental_amplitude,gather_file,sensor_file
pitch,3,28,0.7,0.6928425777777778,0.9997542580001342,0.9999999998395588,700,1207,6100,0.20134913416237601,0.17527791383235744,0.7630300340530601,vertical_yaw3/gather_28_ang120.csv,vertical_yaw3/sensor_28_ang120.csv
yaw,1,22,0.1,0.09697741851851852,0.9999999798422178,0.9999999999973915,700,1207,6100,0.2015878844902356,0.18171825028444616,0.1107258528571904,pure_yaw1/gather_22_ang0.csv,pure_yaw1/sensor_22_ang0.csv
yaw,1,23,0.2,0.1980309851851852,0.9999996398716778,0.9999999999971102,700,1207,6100,0.20159374613409697,0.1753621757495304,0.21819708362966653,pure_yaw1/gather_23_ang0.csv,pure_yaw1/sensor_23_ang0.csv
yaw,1,24,0.3,0.29706583333333336,0.9999979549247854,0.9999999999715234,700,1207,6200,0.20159367847288945,0.17532994416770337,0.327256791153462,pure_yaw1/gather_24_ang0.csv,pure_yaw1/sensor_24_ang0.csv
yaw,1,25,0.4,0.3960247851851852,0.999992189456711,0.999999999783415,700,1207,6100,0.201592425599124,0.17525600259686272,0.4360890050443625,pure_yaw1/gather_25_ang0.csv,pure_yaw1/sensor_25_ang0.csv
yaw,1,26,0.5,0.4950732407407407,0.9999998401099629,0.999999999997466,700,1207,6100,0.20159183715455786,0.1762235237835591,0.5481673978790949,pure_yaw1/gather_26_ang0.csv,pure_yaw1/sensor_26_ang0.csv
yaw,1,27,0.6,0.5941300444444445,0.9999235233440362,0.999999999485597,700,1207,6100,0.2015971427776086,0.1750373440735072,0.6534195105318485,pure_yaw1/gather_27_ang0.csv,pure_yaw1/sensor_27_ang0.csv
yaw,1,28,0.7,0.6928336074074074,0.9997585720030032,0.9999999998404044,700,1207,6100,0.2015919964448726,0.17527896666731013,0.7630247381549237,pure_yaw1/gather_28_ang0.csv,pure_yaw1/sensor_28_ang0.csv
yaw,2,22,0.1,0.09783702222222224,0.9999999802492258,0.9999999999977613,700,1207,6100,0.20158838949215996,0.17904497726402008,0.11006398594382895,pure_yaw2/gather_22_ang60.csv,pure_yaw2/sensor_22_ang60.csv
yaw,2,23,0.2,0.198024362962963,0.9999996346346617,0.9999999999970852,700,1207,6100,0.20159364042277378,0.17535630047883125,0.21818247689493694,pure_yaw2/gather_23_ang60.csv,pure_yaw2/sensor_23_ang60.csv
yaw,2,24,0.3,0.2970670222222222,0.999998055573168,0.9999999999713731,700,1207,6100,0.20159367146017415,0.17533140152423704,0.3272608210652948,pure_yaw2/gather_24_ang60.csv,pure_yaw2/sensor_24_ang60.csv
yaw,2,25,0.4,0.3960322962962963,0.9999915189217221,0.9999999997848592,700,1207,6100,0.20159247096436234,0.175250809054527,0.4360843527025978,pure_yaw2/gather_25_ang60.csv,pure_yaw2/sensor_25_ang60.csv
yaw,2,26,0.5,0.49506212962962964,0.9999998456764253,0.999999999997358,700,1207,6100,0.20159192658622113,0.1762196029629165,0.5481428991805644,pure_yaw2/gather_26_ang60.csv,pure_yaw2/sensor_26_ang60.csv
yaw,2,27,0.6,0.5941403555555556,0.9999257770261245,0.9999999994871624,700,1207,6100,0.2015973112910846,0.17503970818975087,0.6534396760781171,pure_yaw2/gather_27_ang60.csv,pure_yaw2/sensor_27_ang60.csv
yaw,2,28,0.7,0.6928290185185184,0.9997561008055987,0.9999999998400197,700,1207,6100,0.20159176931444409,0.17528055215843624,0.7630265862819899,pure_yaw2/gather_28_ang60.csv,pure_yaw2/sensor_28_ang60.csv
yaw,3,22,0.1,0.09724382962962964,0.999999979918723,0.9999999999976706,700,1207,6100,0.20158801003193666,0.18087651880509792,0.11051573414548366,pure_yaw3/gather_22_ang120.csv,pure_yaw3/sensor_22_ang120.csv
yaw,3,23,0.2,0.19803316296296297,0.9999996425608705,0.9999999999970792,700,1207,6100,0.20159376968318943,0.17535590375037652,0.21819167905997833,pure_yaw3/gather_23_ang120.csv,pure_yaw3/sensor_23_ang120.csv
yaw,3,24,0.3,0.2970475222222222,0.9999978240702175,0.9999999999713026,700,1207,6100,0.20159344903069829,0.17534230611056445,0.3272596914617972,pure_yaw3/gather_24_ang120.csv,pure_yaw3/sensor_24_ang120.csv
yaw,3,25,0.4,0.39603767407407403,0.9999905703596751,0.9999999997836507,700,1207,6100,0.20159250234717824,0.17525303333037867,0.43609580919214186,pure_yaw3/gather_25_ang120.csv,pure_yaw3/sensor_25_ang120.csv
yaw,3,26,0.5,0.4950616851851852,0.9999998462124078,0.9999999999974961,700,1207,6100,0.20159180832282594,0.17621896022528666,0.5481404078058698,pure_yaw3/gather_26_ang120.csv,pure_yaw3/sensor_26_ang120.csv
yaw,3,27,0.6,0.5941387777777778,0.9999243124866237,0.9999999994874215,700,1207,6100,0.20159712257592552,0.17504532288495228,0.6534589009562345,pure_yaw3/gather_27_ang120.csv,pure_yaw3/sensor_27_ang120.csv
yaw,3,28,0.7,0.6928490333333333,0.9997520667945233,0.9999999998393835,700,1207,6100,0.20159201204389415,0.17527894962674578,0.7630416527022527,pure_yaw3/gather_28_ang120.csv,pure_yaw3/sensor_28_ang120.csv
