dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,timing_group,gather_file,sensor_file,status,exclusion_reason,gather_rows,sensor_rows,required_sensor_rows,paired_rows,motion_fit_r2,u_mean_m_s,surge_force_mean_n,surge_force_oscillatory_rms_n,q_amplitude,condition_raw,sensor_time_shift_ms,quality_flag
heave,2,10,0.3,,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_10.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_10.csv,excluded,short_sensor_record:4100<4751,1207,4100,4751,,,,,,,,0,excluded
heave,2,11,0.4,0.3960912401,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_11.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_11.csv,included,,1207,6000,4751,700,0.9999921251,0.2016078609,0.9329067214,2.30329666,0.2522549007,9.467637645,0,ok
heave,2,12,0.5,0.4950689408,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_12.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_12.csv,included,,1207,6100,4751,700,0.9999999667,0.201607865,0.9545807003,2.122824597,0.3158683489,10.06530889,0,ok
heave,2,13,0.6,0.5940458472,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_13.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_13.csv,included,,1207,6100,4751,700,0.9999129868,0.201607834,1.422571654,2.201719102,0.3780031097,10.22595983,0,ok
heave,2,14,0.7,,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_14.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_14.csv,excluded,short_sensor_record:3600<4751,1207,3600,4751,,,,,,,,0,excluded
heave,3,8,0.1,0.102,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_8.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_8.csv,included,,1207,6100,4751,700,0.9999999803,0.2016078798,0.3613392383,1.206786247,0.05006304457,8.189523943,0,frequency_search_boundary
heave,3,9,0.2,0.1979925527,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_9.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_9.csv,included,,1207,6200,4751,700,0.9999996433,0.2016078757,0.5088063986,1.143740604,0.1260038125,10.4041767,0,ok
heave,3,10,0.3,0.2970635793,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_10.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_10.csv,included,,1207,6100,4751,700,0.9999981867,0.201607845,0.7115034649,1.149736314,0.1889404485,10.25560195,0,ok
heave,3,11,0.4,0.3960912567,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_11.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_11.csv,included,,1207,6200,4751,700,0.9999921246,0.2016078394,0.8649600591,1.120706051,0.2522547493,9.467679119,0,ok
heave,3,12,0.5,0.4950689407,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_12.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_12.csv,included,,1207,6100,4751,700,0.9999999668,0.2016078568,1.01033107,1.22303526,0.3158684383,10.06532886,0,ok
heave,3,13,0.6,0.5940458219,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_13.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_13.csv,included,,1207,6100,4751,700,0.999912986,0.2016078201,1.087212003,1.17747386,0.3780031978,10.22590397,0,ok
heave,3,14,0.7,0.6929789951,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/gather_14.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway3/sensor_14.csv,included,,1207,6100,4751,700,0.9997720868,0.201607856,0.9963737017,1.351354501,0.4414766503,9.79655965,0,ok
pitch,1,22,0.1,0.102,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_22_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_22_ang0.csv,included,,1207,6100,4751,700,0.9999999797,0.2095034821,0.01885381057,1.439366926,0.08683556743,9.373948019,0,frequency_search_boundary
pitch,1,23,0.2,0.1979915687,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_23_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_23_ang0.csv,included,,1207,6100,4751,700,0.9999996567,0.2106081974,0.3476832786,1.392576225,0.2181125501,8.305834734,0,ok
pitch,1,24,0.3,0.297071683,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_24_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_24_ang0.csv,included,,1207,6100,4751,700,0.9999982834,0.2039665199,0.3382678149,1.380627563,0.3270687587,6.345121652,0,ok
pitch,1,25,0.4,0.3960712262,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_25_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_25_ang0.csv,included,,1207,6100,4751,700,0.9999925005,0.1953266408,0.3809535374,1.454560481,0.4366484287,4.625172906,0,ok
pitch,1,26,0.5,0.4950900937,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_26_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_26_ang0.csv,included,,1207,6100,4751,700,0.9999998997,0.1920835971,0.39178629,1.383860688,0.5467783066,3.997963308,0,ok
pitch,1,27,0.6,0.5940374349,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_27_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_27_ang0.csv,included,,1207,6100,4751,700,0.999910393,0.1970807517,0.4137880669,1.327067391,0.654320623,3.538506752,0,ok
pitch,1,28,0.7,0.6929779574,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/gather_28_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw1/sensor_28_ang0.csv,included,,1207,6100,4751,700,0.9997711368,0.2057704197,0.4322767354,1.365338813,0.7642053775,3.443947607,0,ok
pitch,2,22,0.1,0.102,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_22_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_22_ang60.csv,included,,1207,6100,4751,700,0.9999999787,0.2095036428,0.2678927631,1.432067123,0.08683455851,9.373922105,0,frequency_search_boundary
pitch,2,23,0.2,0.1979839217,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_23_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_23_ang60.csv,included,,1207,6100,4751,700,0.9999996386,0.2106082799,0.3261725283,1.322203505,0.2181229991,8.308654378,0,ok
pitch,2,24,0.3,0.2970743953,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_24_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_24_ang60.csv,included,,1207,6100,4751,700,0.9999981998,0.2039667332,0.3369865834,1.398556887,0.3270755142,6.345097729,0,ok
pitch,2,25,0.4,0.396077557,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_25_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_25_ang60.csv,included,,1207,6100,4751,700,0.9999923693,0.1953288683,0.3655758066,1.455805423,0.4366421654,4.623640158,0,ok
